"","PC1","PC17","PC30"
"norank",0.872577364451528,0.927261502800584,0.908387698752411
"Phyllobacteriaceae",0.00452429432155406,0.0224194289079658,0.0648875389066535
"Thermomonosporaceae",0.00434898424801704,0.0419950827822682,0.0236644083189925
"Corynebacteriaceae",0.0323058758386102,0.00088951751577999,0
"Mycobacteriaceae",0.0234710782522753,0.000362987224715694,0.00137735732216391
"Ectothiorhodospiraceae",0.0154489891830097,0.00492380332374462,0.000772948381062566
"Bacillaceae",0.0154864149290457,0,0
"Nocardioidaceae",0.00907855737959559,0.00115955797236558,0.00051443323432665
"Alicyclobacillaceae",0.00853194450985938,0.000988119472576106,0.000395615084389794
"Xanthobacteraceae",0.00738177113614611,0,0
"Demequinaceae",0.00374345396793282,0,0
"Caulobacteraceae",0.00310127178242613,0,0
